"venue_name","timezone"
"Stadium","America/New_York"
"Court 5","America/New_York"
"Court 3","America/New_York"
"Court 1","America/New_York"
"Court 4","America/New_York"
"Court 2","America/New_York"
"Court 6","America/New_York"
"Indoor 2","America/New_York"
"Center Court","Europe/Prague"
"Court 1","Europe/Prague"
"Court 6","Europe/Prague"
"Court 2","Europe/Prague"
"Prostejov Arena","Europe/Prague"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Court 3","Europe/Berlin"
"Court 4","Europe/Berlin"
"Court 5","Europe/Berlin"
"Court 6","Europe/Berlin"
"Centre Court","Europe/Berlin"
"Schauinslandreisen Court","Europe/Berlin"
"OWL Arena","Europe/Berlin"
"Court 1","Europe/London"
"Court 2","Europe/London"
"Court 6","Europe/London"
"ANDY MURRAY ARENA","Europe/London"
"Court 5","America/Argentina/Cordoba"
"Court 2","America/Argentina/Cordoba"
"Court 6","America/Argentina/Cordoba"
"Court 1","America/Argentina/Cordoba"
"Court 3","America/Argentina/Cordoba"
"Court 4","America/Argentina/Cordoba"
"Center Court","America/Argentina/Cordoba"
"Estadio Leonardo Mayer","America/Argentina/Cordoba"
"Centre Court","Europe/Berlin"
"Court 2","Europe/Rome"
"Court 1","Europe/Rome"
"Center Court","Europe/Rome"
"Court 4","Europe/Rome"
"Court 3","Europe/Rome"
"Court Diego Schwarzman","America/Argentina/Buenos_Aires"
"Enrique Morea","America/Argentina/Buenos_Aires"
"Cancha Central","America/Argentina/Buenos_Aires"
"Cancha 2","America/Argentina/Buenos_Aires"
"Cancha 3","America/Argentina/Buenos_Aires"
"Court 1","Europe/London"
"Court 2","Europe/London"
"Court 3","Europe/London"
"Court 4","Europe/London"
"Court 5","Europe/London"
"Court 7","Europe/London"
"Court 8","Europe/London"
"Court 9","Europe/London"
"Court 10","Europe/London"
"Stadium Court","Europe/London"
"Court 12","Europe/London"
"Court 13","Europe/London"
"Court 14","Europe/London"
"Court 15","Europe/London"
"Court 16","Europe/London"
"Court 18","Europe/London"
"Court 6","Europe/London"
"Court 17","Europe/London"
"Show Court 1","Europe/London"
"Court 11","Europe/London"
"Center Court","Europe/Madrid"
"Court 1","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 3","Europe/Madrid"
"Court 2","US/Pacific"
"Court 1","US/Pacific"
"Court 3","US/Pacific"
"Center Court","US/Pacific"
"Indoor 1","US/Pacific"
"Indoor 2","US/Pacific"
"Court Amplitude","US/Pacific"
"Intermarche","US/Pacific"
"Cheurlin Dangin","US/Pacific"
"Court 2","Europe/Vienna"
"Court 1","Europe/Vienna"
"Center Court","Europe/Vienna"
"Court 3","Europe/Vienna"
"Court 1","Europe/Paris"
"Court Central","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Court 4","Europe/Paris"
"Center Court","America/New_York"
"Court 1","America/New_York"
"Court 3","America/New_York"
"Court 4","America/New_York"
"Court 5","America/New_York"
"Center Court","Europe/Berlin"
"M1","Europe/Berlin"
"M2","Europe/Berlin"
"M3","Europe/Berlin"
"Court 2","Europe/Berlin"
"Court 1","Europe/Berlin"
"M4","Europe/Berlin"
"M5","Europe/Berlin"
"Center","America/Indiana/Indianapolis"
"Court 1","America/Indiana/Indianapolis"
"Court 2","America/Indiana/Indianapolis"
"Court 3","America/Indiana/Indianapolis"
"Court 4","America/Indiana/Indianapolis"
"Court 3","Europe/Madrid"
"Court 4","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 1","Europe/Madrid"
"Pista Fabian Dorado","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Center Court","Europe/Madrid"
"Center Court","Europe/Helsinki"
"Court 1","Europe/Helsinki"
"Court 5","Europe/Helsinki"
"Court 4","Europe/Helsinki"
"Court 7","Europe/Helsinki"
"Court 3","Europe/Helsinki"
"Centrale","Europe/Rome"
"Campo 2","Europe/Rome"
"Campo 3","Europe/Rome"
"Court 4","America/Chicago"
"Court 6","America/Chicago"
"Court 8","America/Chicago"
"Court 9","America/Chicago"
"Court 10","America/Chicago"
"Court 11","America/Chicago"
"Court 2","America/Chicago"
"Court 3","America/Chicago"
"Court 1","America/Chicago"
"Centre Court","Europe/Zurich"
"Court 1","Europe/Zurich"
"Court 2","Europe/Zurich"
"Jego Court 1","Europe/Zurich"
"Tramondo Court 2","Europe/Zurich"
"Topcar Court 2","Europe/Zurich"
"Stadium 1","America/New_York"
"Court 6","America/New_York"
"Indoor 1","America/New_York"
"Indoor 2","America/New_York"
"Indoor 4","America/New_York"
"Indoor 11","America/New_York"
"Indoor 9","America/New_York"
"Center Court","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court 7","America/New_York"
"Stadium 6","Europe/Bucharest"
"Cancha Central","America/Lima"
"Cancha 5","America/Lima"
"Estadio","America/Lima"
"Cancha 6","America/Lima"
"Cancha 7","America/Lima"
"Cancha 1","America/Lima"
"Cancha 2","America/Lima"
"Cancha 8","America/Lima"
"Cancha 4","America/Lima"
"Center Court","America/Lima"
"Cancha 3","America/Lima"
"Cancha 11","America/Lima"
"Cancha 10","America/Lima"
"Cancha 9","America/Lima"
"Cancha 13","America/Lima"
"Court 2","America/Vancouver"
"Court 1","America/Vancouver"
"Centre Court","America/Vancouver"
"Polygon Court","America/Vancouver"
"Court 6","Europe/Warsaw"
"Court 7","Europe/Warsaw"
"Court 8","Europe/Warsaw"
"Court 9","Europe/Warsaw"
"GKS Pogon Stadium","Europe/Warsaw"
"Center Court","Europe/Warsaw"
"Court 12","Europe/Warsaw"
"Court 13","Europe/Warsaw"
"Court 14","Europe/Warsaw"
"Court Central","Canada/Eastern"
"Court 3","Canada/Eastern"
"Court 4","Canada/Eastern"
"Court 1","Canada/Eastern"
"Court 7","Canada/Eastern"
"Court 8","Canada/Eastern"
"Indoor Court 1","Canada/Eastern"
"Indoor Court 3","Canada/Eastern"
"Indoor 4","Canada/Eastern"
"Indoor 2","Canada/Eastern"
"Centre Court","Europe/Prague"
"Court 5","Europe/Prague"
"Court 7","Europe/Prague"
"Court 8","Europe/Prague"
"Court 4","Europe/Sarajevo"
"Central Court","Europe/Sarajevo"
"Grandstand","Europe/Sarajevo"
"Court 1","Europe/Sarajevo"
"Court 2","Europe/Sarajevo"
"Center Court","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 5","Europe/Rome"
"Indoor 1","Europe/Rome"
"Indoor 2","Europe/Rome"
"TC Giussano Indoors 3","Europe/Rome"
"TC Giussano Indoors 4","Europe/Rome"
"TC Giussano Indoors 5","Europe/Rome"
"Court 3","Europe/Rome"
"Indoor 4","Europe/Rome"
"Indoor 5","Europe/Rome"
"Pista 4","Europe/Madrid"
"Pista 1","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Court 1","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 3","Europe/Madrid"
"Grandstand","Europe/Madrid"
"Court Central","Europe/Madrid"
"Center Court","Europe/Madrid"
"Court 17","Europe/Paris"
"Court 16","Europe/Paris"
"Court Central","Europe/Paris"
"Centre Court","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Court 4","Europe/Paris"
"Lapietra Center Court","Europe/Rome"
"Ferrovie Del Sud Est Court","Europe/Rome"
"Court 2 Coop","Europe/Rome"
"Court Maldarizzi","Europe/Rome"
"Crt 2 - Tato Paride","Europe/Rome"
"Crt 1 - San Marzano","Europe/Rome"
"Court 9","Europe/Vilnius"
"Court 6","Europe/Vilnius"
"Court 2","Europe/Vilnius"
"Court 1","Europe/Vilnius"
"Court 4","Europe/Vilnius"
"Court 7","Europe/Vilnius"
"Court 3","Europe/Vilnius"
"Court 5","Europe/Vilnius"
"Sportima Arena","Europe/Vilnius"
"Court 12","Europe/Vilnius"
"Court 17","Europe/Vilnius"
"Centre Court","Europe/Vilnius"
"Indoor 2","Asia/Taipei"
"Indoor 1","Asia/Taipei"
"Indoor 11","Asia/Taipei"
"Indoor 13","Asia/Taipei"
"Indoor 12","Asia/Taipei"
"Indoor 14","Asia/Taipei"
"Center Court","Asia/Taipei"
"Show Court","Asia/Taipei"
"Court 1","Asia/Taipei"
"Indoor Court","Asia/Taipei"
"Court 2","Asia/Taipei"
"Court 6","Europe/Sofia"
"Center Court","Europe/Sofia"
"Court 3","Europe/Sofia"
"Center Court","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court 4","America/New_York"
"Court 4","America/Argentina/Cordoba"
"Court 2","America/Argentina/Cordoba"
"Cancha 9","America/Argentina/Cordoba"
"Court 3","America/Argentina/Cordoba"
"Cancha 8","America/Argentina/Cordoba"
"Cancha 10","America/Argentina/Cordoba"
"Court 1","America/Argentina/Cordoba"
"Cancha 11","America/Argentina/Cordoba"
"Cancha 7","America/Argentina/Cordoba"
"Cancha Central","America/Argentina/Cordoba"
"Cancha 5","America/Argentina/Cordoba"
"Cancha 2","America/Argentina/Cordoba"
"Cancha 6","America/Argentina/Cordoba"
"Cancha 3","America/Argentina/Cordoba"
"Cancha 1","America/Argentina/Cordoba"
"Cancha 4","America/Argentina/Cordoba"
"Court Central","America/Argentina/Cordoba"
"Court 1","Asia/Jerusalem"
"Centre Court","Asia/Jerusalem"
"Court Central","Africa/Tunis"
"Court 7","Africa/Tunis"
"Court 6","Africa/Tunis"
"Center Court","Africa/Tunis"
"Court 3","Africa/Tunis"
"Court 4","Africa/Tunis"
"Court 5","Africa/Tunis"
"Court 2","Africa/Tunis"
"Court 1","Africa/Tunis"
"Court 8","Africa/Tunis"
"Central Tag Heuer","Europe/Paris"
"Center Court","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Court 5","Europe/Paris"
"Court 6","Europe/Paris"
"Court 1","Asia/Seoul"
"Court 3","Asia/Seoul"
"Court 5","Asia/Seoul"
"Court 2","Asia/Seoul"
"Stadium","Asia/Seoul"
"Court 4","Asia/Seoul"
"Indoor C1","Asia/Seoul"
"Indoor C4","Asia/Seoul"
"Indoor C6","Asia/Seoul"
"Center Court","Asia/Seoul"
"Court 1","Europe/Berlin"
"Court 3","Europe/Berlin"
"Court 2","Europe/Berlin"
"Central Court","Europe/Rome"
"Court 1","Europe/Rome"
"Center Court","Europe/Rome"
"Court 2","Europe/Rome"
"Court 3","Europe/Rome"
"Cancha 2","America/Mexico_City"
"Cancha 3","America/Mexico_City"
"Estadio","America/Mexico_City"
"Pallazzetto Alzano","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Bergamo","Europe/Rome"
"Center Court","Europe/Rome"
"Court 16","Asia/Tokyo"
"Court 8","Asia/Tokyo"
"Court 6","Asia/Tokyo"
"Center Court","Asia/Tokyo"
"Court 1","Asia/Tokyo"
"Court 2","Asia/Tokyo"
"Court 3","Asia/Tokyo"
"Court Indoor 12","Asia/Tokyo"
"Court Indoor 11","Asia/Tokyo"
"Court Central","America/Toronto"
"Court 1","America/Toronto"
"Centre Marcel Dionne","America/Toronto"
"Centre Court","Asia/Tokyo"
"Show Court 1","Asia/Tokyo"
"Court 7","Asia/Tokyo"
"Sub- Center","Asia/Tokyo"
"Court 5","Asia/Tokyo"
"Indoor Court 10","Asia/Tokyo"
"Indoor Court 11","Asia/Tokyo"
"Indoor Court 14","Asia/Tokyo"
"Indoor Court 15","Asia/Tokyo"
"Maspalomas Center Court","Europe/Madrid"
"EÓ Hotels Court","Europe/Madrid"
"Canary Islands Court","Europe/Madrid"
"Cancha Diego Schwartzman","America/Argentina/Buenos_Aires"
"Cancha 2","America/Argentina/Buenos_Aires"
"Cancha 3","America/Argentina/Buenos_Aires"
"Club Nautico Hacoaj - Court 08","America/Argentina/Buenos_Aires"
"Club Nautico Hacoaj - Center Court","America/Argentina/Buenos_Aires"
"Court 5","America/Sao_Paulo"
"Court 4","America/Sao_Paulo"
"Court 6","America/Sao_Paulo"
"Quadra 5","America/Sao_Paulo"
"Quadra 4","America/Sao_Paulo"
"Quadra 6","America/Sao_Paulo"
"Quadra Central","America/Sao_Paulo"
"Quadra 3","America/Sao_Paulo"
"Quadra 7","America/Sao_Paulo"
"Quadra 2","America/Sao_Paulo"
"Indoor 1","America/Sao_Paulo"
"Indoor 2","America/Sao_Paulo"
"Indoor 3","America/Sao_Paulo"
"Indoor 4","America/Sao_Paulo"
"Court Central","Europe/Brussels"
"Court 1","Europe/Brussels"
"Cancha Central","America/Santiago"
"Cancha 1","America/Santiago"
"Cancha 2","America/Santiago"
"Cancha 7","America/Santiago"
"Cancha 3","America/Santiago"
"Court 1","Europe/Paris"
"Court Central","Europe/Paris"
"Court 2","Europe/Paris"
"Court 4","Europe/Paris"
"Central","Europe/Paris"
"Court 5","Europe/Paris"
"Tourlaville","Europe/Paris"
"Jean Jaures","Europe/Paris"
"Center Court","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Center Court","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 3","Europe/Rome"
"Center Court","America/Mexico_City"
"Cancha 1","America/Mexico_City"
"Cancha 2","America/Mexico_City"
"Court 3","America/Mexico_City"
"Estadio Akron","America/Mexico_City"
"Court 1","America/Chicago"
"Court 3","America/Chicago"
"Court 4","America/Chicago"
"Court 6","America/Chicago"
"Court 5","America/Chicago"
"Court 2","America/Chicago"
"Court 9","America/Chicago"
"Court 7","America/Chicago"
"Court 8","America/Chicago"
"Center","America/Chicago"
"Court 12","America/Chicago"
"Court 11","America/Chicago"
"Indoor 2","America/Chicago"
"Indoor 3","America/Chicago"
"Stadium","America/Chicago"
"Court R3","America/Chicago"
"Court R5","America/Chicago"
"Grandstand","America/Chicago"
"Hurd Tennis Center - Court 01","America/Chicago"
"Hurd Tennis Center - Court 02","America/Chicago"
"Hurd Tennis Center - Court 03","America/Chicago"
"Hurd Tennis Center - Court 04","America/Chicago"
"Hurd Tennis Center - Court 05","America/Chicago"
"Hurd Tennis Center - Court 05","America/Chicago"
"Court 2","America/Chicago"
"Court 1","America/Chicago"
"Court 5","America/Chicago"
"Court 3","America/Chicago"
"Court 6","America/Chicago"
"Court 4","America/Chicago"
"Stadium","America/Chicago"
"Grandstand","America/Chicago"
"Court 8","America/Chicago"
"Center Court","America/Chicago"
"Court 11","America/Chicago"
"Court 1","Europe/London"
"Court 2","Europe/London"
"Court 3","Europe/London"
"Court 4","Europe/London"
"MINORU YONEYAMA CRT","Europe/London"
"12BET COURT","Europe/London"
"Pista 1","Europe/Madrid"
"Court 6","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 8","Europe/Madrid"
"Court 7","Europe/Madrid"
"Court 5","Europe/Madrid"
"Pista Central","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Pista Central","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Court 14","Europe/Madrid"
"Court 11","Europe/Madrid"
"Court 10","Europe/Madrid"
"Court 12","Europe/Madrid"
"Court 13","Europe/Madrid"
"Court 9","Europe/Madrid"
"Court 8","Europe/Madrid"
"Pista 5","Europe/Madrid"
"Court 1","Europe/Madrid"
"Court 3","Europe/Madrid"
"Court 6","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Court 2","Europe/Madrid"
"Estadio Mextenis","America/Mexico_City"
"Grandstand Mifel","America/Mexico_City"
"Court 1","America/Mexico_City"
"Court 1","Europe/Zagreb"
"Court 3","Europe/Zagreb"
"Court 2","Europe/Zagreb"
"Court Practice 8","Europe/Zagreb"
"Indoor Court","Europe/Zagreb"
"Court 5","Europe/Belgrade"
"Court 6","Europe/Belgrade"
"Court 7","Europe/Belgrade"
"Court 8","Europe/Belgrade"
"Centre Court","Europe/Belgrade"
"Teremeer Court","Europe/Berlin"
"Saturn Center Court","Europe/Berlin"
"B&B Court","Europe/Berlin"
"Court 2","Europe/Madrid"
"Pista 1","Europe/Madrid"
"Court 4","Europe/Madrid"
"Court 3","Europe/Madrid"
"Center Court","Europe/Madrid"
"Court 5","Europe/Madrid"
"Pista Central","Europe/Madrid"
"Table 1","Africa/Tunis"
"Table 2","Africa/Tunis"
"Table 3","Africa/Tunis"
"Table 4","Africa/Tunis"
"Center Court","Europe/Rome"
"Court 4","Europe/Rome"
"Court 3","Europe/Rome"
"Center Court","UTC"
"Court 2","UTC"
"Court 3","UTC"
"Stadium","UTC"
"Court 1","UTC"
"Center Court","Europe/Paris"
"Court 1","Europe/Paris"
"Center Court","Europe/Madrid"
"Court 1","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 3","Europe/Madrid"
"Court 4","Europe/Madrid"
"Pedro Munoz","Europe/Madrid"
"Pista 1","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Grandstand","America/Mexico_City"
"Court 3","America/Mexico_City"
"STADIUM CSC","America/Mexico_City"
"Center Court","America/Mexico_City"
"Court 1","America/Mexico_City"
"Court 2","America/Mexico_City"
"Court 4","America/Mexico_City"
"Estadio Mextenis","America/Mexico_City"
"Court 6","America/Los_Angeles"
"Center Court","America/Los_Angeles"
"Court 1","America/Los_Angeles"
"Court 2","America/Los_Angeles"
"Court 3","America/Los_Angeles"
"Court 4","America/Los_Angeles"
"Stadium","America/Chicago"
"Center Court","America/Chicago"
"Court 1","America/Chicago"
"Court 2","America/Chicago"
"Court 4","America/Chicago"
"Court 3","America/Chicago"
"Center Court","America/Bogota"
"Court 1","America/Bogota"
"Court 2","America/Bogota"
"Court 3","America/Bogota"
"Court 4","America/Bogota"
"AO Arena","Europe/London"
"Central Court","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Court 7","Asia/Shanghai"
"Court Indoor 11","Asia/Shanghai"
"Court Indoor 10","Asia/Shanghai"
"Indoor 12","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Court Indoor 9","Asia/Shanghai"
"Court 1","Europe/Ljubljana"
"Court 3","Europe/Ljubljana"
"Court Mima Jausovec","Europe/Ljubljana"
"Court 8","Europe/Ljubljana"
"Court 7","Europe/Ljubljana"
"Center Court","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Indoor 9","Asia/Shanghai"
"Indoor 10","Asia/Shanghai"
"Indoor 11","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Indoor Court","Asia/Shanghai"
"Court 7","America/La_Paz"
"Court 9","America/La_Paz"
"Center Court","America/La_Paz"
"Court 1","America/La_Paz"
"Court 2","America/La_Paz"
"Court 3","America/La_Paz"
"Cancha Central","America/La_Paz"
"Cancha 1","America/La_Paz"
"Cancha 2","America/La_Paz"
"Court 3","Europe/Warsaw"
"Court 2","Europe/Warsaw"
"Court 1","Europe/Warsaw"
"Center Court","Europe/Warsaw"
"Cancha 7","America/Santiago"
"Cancha 8","America/Santiago"
"Cancha Central","America/Santiago"
"Court 1","America/Santiago"
"Court 2","America/Santiago"
"Court 3","America/Santiago"
"Center Court","Europe/Vienna"
"Court 1","Europe/Vienna"
"Court 2","Europe/Vienna"
"Court 3","Europe/Vienna"
"Center Court","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Center Court","Asia/Almaty"
"Court 1","Asia/Almaty"
"Court 2","Asia/Almaty"
"Court 3","Asia/Almaty"
"Court 4","Asia/Almaty"
"Cancha 3","America/Bogota"
"Cancha Central","America/Bogota"
"Cancha 1","America/Bogota"
"Cancha 2","America/Bogota"
"Center Court","America/Bogota"
"Court 1","America/Bogota"
"Court 2","America/Bogota"
"Court 3","America/Bogota"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Central Arena","Europe/Paris"
"St Cyr En Val No.2","Europe/Paris"
"Centre Court of ATP Playford, Australia","Australia/Adelaide"
"Court 1","Australia/Adelaide"
"Court 2","Australia/Adelaide"
"Pedro Amadeu","Brazil/East"
"Indoor 2","Brazil/East"
"Indoor 1","Brazil/East"
"Quadra 1","Brazil/East"
"Quadra Central 4","Brazil/East"
"Indoor 11","Brazil/East"
"Indoor 12","Brazil/East"
"Stadium 2","America/Mexico_City"
"Stadium 3","America/Mexico_City"
"Stadium 1","America/Mexico_City"
"Huafa Center Court","Asia/Shanghai"
"Estadio Paradisus","America/Mexico_City"
"Center Court","Europe/Sofia"
"Court 1","Europe/Sofia"
"Court 2","Europe/Sofia"
"Court 3","Europe/Sofia"
"Court 4","Europe/Stockholm"
"Court 2","Europe/Stockholm"
"Court 5","Europe/Stockholm"
"Court 1","Europe/Stockholm"
"Central Court","Asia/Tokyo"
"Court B","Asia/Tokyo"
"Court C","Asia/Tokyo"
"Court 5","America/Santiago"
"Centre Court","America/Santiago"
"Court 1","America/Santiago"
"Court 2","America/Santiago"
"Grandstand","America/Santiago"
"Quadra 9","Brazil/East"
"Quadra 3","Brazil/East"
"Quadra 4","Brazil/East"
"Center Court","America/Sao_Paulo"
"Court 1","America/Sao_Paulo"
"Court 2","America/Sao_Paulo"
"Quadra Central","America/Sao_Paulo"
"Quadra 1","America/Sao_Paulo"
"Quadra 2","America/Sao_Paulo"
"Quadra 3","America/Sao_Paulo"
"Indoor Court","America/Sao_Paulo"
"Platz 1","Europe/Berlin"
"Platz 2","Europe/Berlin"
"Platz 3","Europe/Berlin"
"Platz 4","Europe/Berlin"
"Kurt 1","Europe/Prague"
"Kurt 2","Europe/Prague"
"Match Court","Europe/Prague"
"Cancha Central","America/Argentina/Buenos_Aires"
"Cancha 1","America/Argentina/Buenos_Aires"
"Cancha 2","America/Argentina/Buenos_Aires"
"Centre Court","Europe/Vienna"
"Match Court 1","Europe/Vienna"
"Indoor 1","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Center Court","Asia/Kolkata"
"Court 1","Asia/Kolkata"
"Court 2","Asia/Kolkata"
"Central Court","Europe/Madrid"
"Court 1","Europe/Madrid"
"Court 2","Europe/Madrid"
"Center Court","Europe/Bucharest"
"Cancha 2","America/Argentina/Cordoba"
"Cancha 1","America/Argentina/Cordoba"
"Cancha Central","America/Argentina/Cordoba"
"Cancha 7","America/Argentina/Cordoba"
"Cancha 9","America/Argentina/Cordoba"
"Cancha 2 (Acapulco, MEXICO)","America/Mexico_City"
"Cancha 3 (Acapulco, MEXICO)","America/Mexico_City"
"Cancha 1 (Acapulco, MEXICO)","America/Mexico_City"
"Grandstand (Acapulco, MEXICO)","America/Mexico_City"
"Estadio Arena GNP Seguros (Acapulco, MEXICO)","America/Mexico_City"
"Center Court","Europe/Madrid"
"Court 1","Europe/Madrid"
"Court 2","Europe/Madrid"
"Huafa Center Court","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Indoor 1","Asia/Shanghai"
"Indoor 2","Asia/Shanghai"
"Center Court","Asia/Shanghai"
"Quadra Central","Brazil/East"
"Quadra De Lisonda","Brazil/East"
"Quadra Coberta","Brazil/East"
"Quadra 1","Brazil/East"
"Quadra 2","Brazil/East"
"Quadra 3","Brazil/East"
"Quadra 4","Brazil/East"
"Quadra 5","Brazil/East"
"Quadra 6","Brazil/East"
"Indoor 1","Brazil/East"
"Court 1","Europe/Lisbon"
"Court 5","Europe/Lisbon"
"Court 4","Europe/Lisbon"
"Court Central","Europe/Lisbon"
"Court 3","Europe/Lisbon"
"Court 2","Europe/Lisbon"
"Court 6","Europe/Lisbon"
"Court 8","Europe/Lisbon"
"Court 15","Europe/Lisbon"
"Court 14","Europe/Lisbon"
"Court 16","Europe/Lisbon"
"Court 17","Europe/Lisbon"
"Court 10","Europe/Lisbon"
"Court 1","Asia/Tbilisi"
"Center Court","Asia/Tbilisi"
"Court 3","Asia/Tbilisi"
"Court 2","Asia/Tbilisi"
"Center Court","Europe/Zagreb"
"Court 1","Europe/Zagreb"
"Indoor 3","Europe/Zagreb"
"Indoor 2","Europe/Zagreb"
"Indoor 1","Europe/Zagreb"
"Court 4","Europe/Zagreb"
"Court 5","Europe/Zagreb"
"Court 2","Europe/Zagreb"
"Court 3","Europe/Zagreb"
"Court 6","Europe/Zagreb"
"Court 8","Europe/Zagreb"
"Court 3","Europe/Bucharest"
"Court 2","Europe/Bucharest"
"Court 1","Europe/Bucharest"
"Center Court","Europe/Bucharest"
"Court 4","Europe/Bucharest"
"Center Court","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 3","Europe/Rome"
"Campo 4","Europe/Rome"
"Volvo Arena","Europe/Rome"
"Campo 1","Europe/Rome"
"Grandstand","Europe/Rome"
"Centre Court","Asia/Hong_Kong"
"Court 1","Asia/Hong_Kong"
"Court 2","Asia/Hong_Kong"
"Center Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 3","Europe/Berlin"
"Court 2","Europe/Berlin"
"Center Court","America/Chicago"
"Court 11","America/Chicago"
"Court 1","America/Chicago"
"Court 3","America/Chicago"
"Court 5","America/Chicago"
"Sid and Hazel Dillon Tennis Center - Court 02","America/Chicago"
"Sid and Hazel Dillon Tennis Center - Court 04","America/Chicago"
"Sid and Hazel Dillon Tennis Center - Court 06","America/Chicago"
"Court 1","Europe/Sofia"
"Center Court","Europe/Sofia"
"Court 2","Europe/Sofia"
"Court 3","Europe/Sofia"
"Omega Sport - Court 01","Europe/Prague"
"Omega Sport - Court 02","Europe/Prague"
"Omega Sport - Court 3","Europe/Prague"
"Omega Sport - Court 05","Europe/Prague"
"Omega Sport - Court 06","Europe/Prague"
"Omega Sport - Court 07","Europe/Prague"
"Central Court","Europe/Lisbon"
"Court 2","Europe/Lisbon"
"Court 1","Europe/Lisbon"
"Central Eupago","Europe/Lisbon"
"Campo Central","Europe/Lisbon"
"Campo 2","Europe/Lisbon"
"Campo 3","Europe/Lisbon"
"Mc Donalds","Europe/Lisbon"
"Banco Carregosa","Europe/Lisbon"
"Court 1","Africa/Cairo"
"Court 2","Africa/Cairo"
"Court 3","Africa/Cairo"
"Court 4","Africa/Cairo"
"Court 5","Africa/Cairo"
"Court 6","Africa/Cairo"
"Court 7","Africa/Cairo"
"Court 8","Africa/Cairo"
"Court 9","Africa/Cairo"
"Court 10","Africa/Cairo"
"Central","Europe/Zurich"
"Court 1","Europe/Zurich"
"Cancha Central","America/Bogota"
"Cancha 1","America/Bogota"
"Cancha 2","America/Bogota"
"Center Court","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Indoor 1","Asia/Shanghai"
"Center Court","Asia/Riyadh"
"Centre Court","Europe/Belgrade"
"Grandstand","Europe/Belgrade"
"COURT CENTRAL","Europe/Paris"
"COURT 1","Europe/Paris"
"COURT 2","Europe/Paris"
"Cancha Central","America/Mexico_City"
"Cancha 1","America/Mexico_City"
"Cancha 2","America/Mexico_City"
"Cancha 3","America/Mexico_City"
"The Tennis Club at Newport Beach - Court 17","America/Los_Angeles"
"The Tennis Club at Newport Beach - Court 01","America/Los_Angeles"
"The Tennis Club at Newport Beach - Court 12","America/Los_Angeles"
"The Tennis Club at Newport Beach - Court 18","America/Los_Angeles"
"The Tennis Club at Newport Beach - Court 19","America/Los_Angeles"
"Headington Family Tennis Center - Court 2","America/Chicago"
"Headington Family Tennis Center - Court 4","America/Chicago"
"Headington Family Tennis Center - Court 1","America/Chicago"
"Headington Family Tennis Center - Court 3","America/Chicago"
"Headington Family Tennis Center - Court 5","America/Chicago"
