"venue_name","timezone"
"Court 2","Europe/Brussels"
"Court 3","Europe/Brussels"
"Court 5","Europe/Brussels"
"Court 6","Europe/Brussels"
"Court 4","Europe/Brussels"
"CENTRALA","Europe/Bucharest"
"SEMI CENTRALA","Europe/Bucharest"
"Court 4","Europe/Bucharest"
"Court 5","Europe/Bucharest"
"Grandstand","Europe/Bucharest"
"Court 7","Europe/Bucharest"
"Court 6","Europe/Bucharest"
"Court 8","Europe/Bucharest"
"Court 9","Europe/Bucharest"
"Center Court","Europe/Berlin"
"Court 4","Europe/Berlin"
"Court 8","Europe/Berlin"
"Court 10","Europe/Berlin"
"Court 13","Europe/Berlin"
"SZ Court","Europe/Berlin"
"Court 3","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Centre","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Pista Rafa Nadal","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 5","Europe/Madrid"
"Pista Manolo Santana","Europe/Madrid"
"Pista Central","Europe/Madrid"
"Pista 1","Europe/Madrid"
"Pista Jan Kodes","Europe/Madrid"
"Pista Andres Gimeno","Europe/Madrid"
"Centre Court","Asia/Tokyo"
"Court 2","Asia/Tokyo"
"Court 3","Asia/Tokyo"
"Court 9","Asia/Tokyo"
"Court 4","Asia/Tokyo"
"Youme Town","Asia/Tokyo"
"Indoor Court 17","Asia/Tokyo"
"Indoor Court 20","Asia/Tokyo"
"Indoor Court 18","Asia/Tokyo"
"Indoor Court 19","Asia/Tokyo"
"Court 13","Europe/Paris"
"Court Sopra Steria","Europe/Paris"
"Court 12","Europe/Paris"
"Court 23","Europe/Paris"
"Court 1","Europe/Paris"
"Central","Europe/Paris"
"Court 2","Europe/Paris"
"COURT REGION AUVERGNE RHONE-ALPES","Europe/Paris"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Court 17","Asia/Shanghai"
"Court 16","Asia/Shanghai"
"Court 18","Asia/Shanghai"
"Stadium Court","Asia/Shanghai"
"Court 11","Asia/Shanghai"
"Court 12","Asia/Shanghai"
"Center Court","Asia/Shanghai"
"Swiss Tennis Arena","Europe/Zurich"
"Indoor 4","Asia/Shanghai"
"Court 6","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Indoor 7","Asia/Shanghai"
"Indoor 5","Asia/Shanghai"
"Centre Court","Asia/Shanghai"
"Yang-Ming Tennis Center - Court 6","Asia/Taipei"
"Yang-Ming Tennis Center - Court 1","Asia/Taipei"
"Yang-Ming Tennis Center - Court 2","Asia/Taipei"
