"competition_name","category_name"
"ITF Spain F28, Men Doubles","ITF Men"
"ITF Netherlands F7, Men Singles","ITF Men"
"ITF Netherlands F7, Men Doubles","ITF Men"
"ITF Italy F28, Men Singles","ITF Men"
"ITF Italy F28, Men Doubles","ITF Men"
"ITF Hungary F5, Men Singles","ITF Men"
"ITF Hungary F5, Men Doubles","ITF Men"
"ITF Hungary F6, Men Singles","ITF Men"
"ITF Hungary F6, Men Doubles","ITF Men"
"ITF Men Niagara, Canada Men Singles","ITF Men"
"ITF Men Niagara, Canada Men Doubles","ITF Men"
"ITF USA F30, Men Singles","ITF Men"
"ITF USA F30, Men Doubles","ITF Men"
"ITF Men Kiev, Ukraine Men Singles","ITF Men"
"ITF Men Kiev, Ukraine Men Doubles","ITF Men"
"ITF Hungary F8, Men Singles","ITF Men"
"ITF Hungary F8, Men Doubles","ITF Men"
"ITF Men Neiva, Colombia Men Singles","ITF Men"
"ITF Men Neiva, Colombia Men Doubles","ITF Men"
"ITF Men Vallduxo, Spain Men Singles","ITF Men"
"ITF Men Vallduxo, Spain Men Doubles","ITF Men"
"ITF Men Salinas, Ecuador Men Singles","ITF Men"
"ITF Men Salinas, Ecuador Men Doubles","ITF Men"
"ITF USA F34, Men Singles","ITF Men"
"ITF USA F34, Men Doubles","ITF Men"
"ITF Men Latina, Italy Men Singles","ITF Men"
"ITF Men Latina, Italy Men Doubles","ITF Men"
"ITF Men Almeria, Spain Men Singles","ITF Men"
"ITF Men Almeria, Spain Men Doubles","ITF Men"
"ITF Great Britain F6, Men Singles","ITF Men"
"ITF Great Britain F6, Men Doubles","ITF Men"
"ITF Men Blacktown, Australia Men Singles","ITF Men"
"ITF Men Blacktown, Australia Men Doubles","ITF Men"
"ITF Men San Salvador, El Salvador Men Singles","ITF Men"
"ITF Men San Salvador, El Salvador Men Doubles","ITF Men"
"ITF Czech Republic F10, Men Singles","ITF Men"
"ITF Czech Republic F10, Men Doubles","ITF Men"
"ITF Men Talca, Chile Men Singles","ITF Men"
"ITF Men Talca, Chile Men Doubles","ITF Men"
"ITF Czech Republic F12, Men Singles","ITF Men"
"ITF Czech Republic F12, Men Doubles","ITF Men"
"ITF Men Paysandu, Uruguay Men Singles","ITF Men"
"ITF Men Paysandu, Uruguay Men Doubles","ITF Men"
"ITF Men Salto, Uruguay Men Singles","ITF Men"
"ITF Men Salto, Uruguay Men Doubles","ITF Men"
"ITF Men Mayaguez, Puerto Rico Men Singles","ITF Men"
"ITF Men Mayaguez, Puerto Rico Men Doubles","ITF Men"
"ITF Switzerland F2, Men Singles","ITF Men"
"ITF Switzerland F2, Men Doubles","ITF Men"
"ITF USA F9, Men Singles","ITF Men"
"ITF USA F9, Men Doubles","ITF Men"
"ITF India F2, Men Doubles","ITF Men"
"ITF India F2, Men Singles","ITF Men"
"ITF Spain F6, Men Singles","ITF Men"
"ITF Spain F6, Men Doubles","ITF Men"
"ITF India F3, Men Singles","ITF Men"
"ITF India F3, Men Doubles","ITF Men"
