"venue_name","complex_name"
"Court 2","Palais des Sports de Marseille"
"Pista 2","Caja Magica"
"Pista 3","Caja Magica"
"Court Central","Caja Magica"
"Court 1","All England Lawn Tennis and Croquet Club"
"Court 9","All England Lawn Tennis and Croquet Club"
"Court 10","All England Lawn Tennis and Croquet Club"
"Court 3","All England Lawn Tennis and Croquet Club"
"Court 12","All England Lawn Tennis and Croquet Club"
"Court 4","All England Lawn Tennis and Croquet Club"
"Court 6","All England Lawn Tennis and Croquet Club"
"Court 7","All England Lawn Tennis and Croquet Club"
"Court 8","All England Lawn Tennis and Croquet Club"
"Court 11","All England Lawn Tennis and Croquet Club"
"Court 13","All England Lawn Tennis and Croquet Club"
"Court 14","All England Lawn Tennis and Croquet Club"
"Court 15","All England Lawn Tennis and Croquet Club"
"Court 16","All England Lawn Tennis and Croquet Club"
"Court 18","All England Lawn Tennis and Croquet Club"
"Court 17","All England Lawn Tennis and Croquet Club"
"Centre Court","All England Lawn Tennis and Croquet Club"
"Court 2","All England Lawn Tennis and Croquet Club"
"Court 5","All England Lawn Tennis and Croquet Club"
"Court 2","Stade Roland Garros"
"Court 6","Stade Roland Garros"
"Court 7","Stade Roland Garros"
"Court 8","Stade Roland Garros"
"Court 9","Stade Roland Garros"
"Court 10","Stade Roland Garros"
"Court 11","Stade Roland Garros"
"Court 12","Stade Roland Garros"
"Court 13","Stade Roland Garros"
"Court 14","Stade Roland Garros"
"Court 15","Stade Roland Garros"
"Court 16","Stade Roland Garros"
"Court Philippe Chatrier","Stade Roland Garros"
"Court Suzanne Lenglen","Stade Roland Garros"
"Court 3","Stade Roland Garros"
"Court 4","Stade Roland Garros"
"Court 5","Stade Roland Garros"
"Court Simonne Mathieu","Stade Roland Garros"
"Court 3","Melbourne Park"
"Court 4","Melbourne Park"
"Court 5","Melbourne Park"
"Court 6","Melbourne Park"
"Court 7","Melbourne Park"
"Court 8","Melbourne Park"
"Court 10","Melbourne Park"
"Court 11","Melbourne Park"
"Court 9","Melbourne Park"
"TC Pau 1","Palais des Sports de Pau"
"Court 12","Melbourne Park"
"Court 13","Melbourne Park"
"Court 14","Melbourne Park"
"Court 15","Melbourne Park"
"Rod Laver Arena","Melbourne Park"
"John Cain Arena","Melbourne Park"
"Margaret Court Arena","Melbourne Park"
"1573 Arena","Melbourne Park"
"Court 18","Melbourne Park"
"Court 19","Melbourne Park"
"Court 21","Melbourne Park"
"Court 20","Melbourne Park"
"Court 22","Melbourne Park"
"Court 16","Melbourne Park"
"Court 17","Melbourne Park"
"Kia Arena","Melbourne Park"
"Indoor West","Qi zhong Forest Sports City Arena"
"Indoor 1","Qi zhong Forest Sports City Arena"
"Center Court","Wake Forest University Tennis Complex"
"Court 2","Wake Forest University Tennis Complex"
"Court 3","Wake Forest University Tennis Complex"
"Court 4","Wake Forest University Tennis Complex"
"Court 5","Wake Forest University Tennis Complex"
"Stadium","Wake Forest University Tennis Complex"
"Show Court 1","The Drive"
"Court 2","The Drive"
"Court 3","The Drive"
"Court 4","The Drive"
"Centre Court","The Drive"
"Stadium Court","Atlantic Station"
"Court 1","Atlantic Station"
"Court 2","Atlantic Station"
"AJC Grandstand Court","Atlantic Station"
"Center","International Tennis Hall of Fame"
"Court 1","International Tennis Hall of Fame"
"Court 2","International Tennis Hall of Fame"
"Court 3","International Tennis Hall of Fame"
"Stadium","International Tennis Hall of Fame"
"Center Court 1","International Tennis Hall of Fame"
"Center Court 2","International Tennis Hall of Fame"
"Court 6","International Tennis Hall of Fame"
"Indoor Court 1","International Tennis Hall of Fame"
"Cancha Central","Club Jacaranda Cumbaya"
"Court 5","Club Jacaranda Cumbaya"
"Court 2","Club Jacaranda Cumbaya"
"Court 6","Club Jacaranda Cumbaya"
"Court 4","Club Jacaranda Cumbaya"
"Court 1","Club Jacaranda Cumbaya"
"Court 3","Club Jacaranda Cumbaya"
"Court 14","Club Jacaranda Cumbaya"
"Court 15","Club Jacaranda Cumbaya"
"Court 16","Club Jacaranda Cumbaya"
"Court 11","Club Jacaranda Cumbaya"
"Court 7","Club Jacaranda Cumbaya"
"Court 8","Club Jacaranda Cumbaya"
"Court 12","Club Jacaranda Cumbaya"
"Court 13","Club Jacaranda Cumbaya"
"Court 2","Hengqin International Tennis Center Zhuhai"
"Court 3","Hengqin International Tennis Center Zhuhai"
"Court 4","Hengqin International Tennis Center Zhuhai"
"Court 5","Hengqin International Tennis Center Zhuhai"
"Center","Hengqin International Tennis Center Zhuhai"
"Court 1","Hengqin International Tennis Center Zhuhai"
"Stadium","Hengqin International Tennis Center Zhuhai"
"Court M3","Hengqin International Tennis Center Zhuhai"
"Court M5","Hengqin International Tennis Center Zhuhai"
"Court M2","Hengqin International Tennis Center Zhuhai"
"Covered Court 2","Hengqin International Tennis Center Zhuhai"
"Covered Court 4","Hengqin International Tennis Center Zhuhai"
"Court 14","Hengqin International Tennis Center Zhuhai"
"Center Court","Hengqin International Tennis Center Zhuhai"
"Estadio 2","Buenos Aires Lawn Tennis Club"
"Court 1","Palais des Sports de Pau"
"Estadio 3","Buenos Aires Lawn Tennis Club"
"Cancha 10","Buenos Aires Lawn Tennis Club"
"Cancha 11","Buenos Aires Lawn Tennis Club"
"Cancha 2","Buenos Aires Lawn Tennis Club"
"Court 14","Buenos Aires Lawn Tennis Club"
"Cancha Central","Buenos Aires Lawn Tennis Club"
"Cancha  4","Buenos Aires Lawn Tennis Club"
"Cancha 5","Buenos Aires Lawn Tennis Club"
"Court Guillermo Vilas","Buenos Aires Lawn Tennis Club"
"Cancha 1","Buenos Aires Lawn Tennis Club"
"Court 2","Buenos Aires Lawn Tennis Club"
"Court 1","Buenos Aires Lawn Tennis Club"
"Court 3","Buenos Aires Lawn Tennis Club"
"Cancha 8","Buenos Aires Lawn Tennis Club"
"Court 9","Buenos Aires Lawn Tennis Club"
"Court 10","Buenos Aires Lawn Tennis Club"
"Court 7","Buenos Aires Lawn Tennis Club"
"Court 8","Buenos Aires Lawn Tennis Club"
"Court 11","Buenos Aires Lawn Tennis Club"
"Cancha 9","Buenos Aires Lawn Tennis Club"
"Cancha 12","Buenos Aires Lawn Tennis Club"
"Court 6","Buenos Aires Lawn Tennis Club"
"Court 4","Buenos Aires Lawn Tennis Club"
"Court 5","Buenos Aires Lawn Tennis Club"
"Cancha 7","Buenos Aires Lawn Tennis Club"
"Court 12","Buenos Aires Lawn Tennis Club"
"Court Central","Buenos Aires Lawn Tennis Club"
"Cancha Central","Buenos Aires Lawn Tennis Club"
"Court Guillermo Villas","Buenos Aires Lawn Tennis Club"
"Stadium","Delray Beach Tennis Center"
"Court 1","Delray Beach Tennis Center"
"Court 2","Delray Beach Tennis Center"
"Court 4","Delray Beach Tennis Center"
"Court 5","Delray Beach Tennis Center"
"Court 6","Delray Beach Tennis Center"
"Court 3","Delray Beach Tennis Center"
"CENTRAL","CK Sportcenter Kockelscheuer"
"Court 1","CK Sportcenter Kockelscheuer"
"Court 2","CK Sportcenter Kockelscheuer"
"Court 3","CK Sportcenter Kockelscheuer"
"Stadium","CK Sportcenter Kockelscheuer"
"Court 1","Luzhniki Olympic Complex"
"Court 2","Luzhniki Olympic Complex"
"Center Court","Ariake Colosseum"
"Court 1","Ariake Colosseum"
"Court 8","Ariake Colosseum"
"Court 9","Ariake Colosseum"
"Court 2","Optics Valley International Tennis Center"
"Court 3","Optics Valley International Tennis Center"
"Court 4","Optics Valley International Tennis Center"
"Court 5","Optics Valley International Tennis Center"
"Court 1","Optics Valley International Tennis Center"
"Center Court","Optics Valley International Tennis Center"
"Court 6","Optics Valley International Tennis Center"
"Indoor 2","Optics Valley International Tennis Center"
"Indoor 4","Optics Valley International Tennis Center"
"Court 10","Optics Valley International Tennis Center"
"Court 9","Optics Valley International Tennis Center"
"Court 8","Optics Valley International Tennis Center"
"Court 7","Optics Valley International Tennis Center"
"Centre Court","Guangzhou Tianhe Sports Center"
"Court 1","Guangzhou Tianhe Sports Center"
"Court 3","Guangzhou Tianhe Sports Center"
"Court 4","Guangzhou Tianhe Sports Center"
"Court 2","Guangzhou Tianhe Sports Center"
"Indoor 2","Guangzhou Tianhe Sports Center"
"Indoor 3","Guangzhou Tianhe Sports Center"
"Court 7","Guangzhou Tianhe Sports Center"
"Ken Rosewall Arena","Olympic Park Tennis Center"
"Court 1","Olympic Park Tennis Center"
"Court 2","Olympic Park Tennis Center"
"Court 3","Olympic Park Tennis Center"
"Court 4","Olympic Park Tennis Center"
"Court 5","Olympic Park Tennis Center"
"Court 6","Olympic Park Tennis Center"
"Court 8","Olympic Park Tennis Center"
"Center Court","Olympic Park Tennis Center"
"Court 7","Olympic Park Tennis Center"
"Court 9","Olympic Park Tennis Center"
"Show Court 1","Olympic Park Tennis Center"
"Centre Court","Victoria Park Tennis Court"
"Court 1","Victoria Park Tennis Court"
"Court 2","Victoria Park Tennis Court"
"Court 11","Victoria Park Tennis Court"
"Court 13","Victoria Park Tennis Court"
"Show Court 1","Victoria Park Tennis Court"
"Show Court 2","Victoria Park Tennis Court"
"Show Court 3","Victoria Park Tennis Court"
"Court 3","Victoria Park Tennis Court"
"Court 12","Victoria Park Tennis Court"
"Court 10","Victoria Park Tennis Court"
